"Report Date","Borough","Community Districts","Census Type","Adult Family Commercial Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Commercial Hotel","Family Cluster","Family with Children Commercial Hotel","Family with Children Shelter"
"11/30/2025","Brooklyn","1","Individuals",,"166","1,094",,,"401",
"11/30/2025","Bronx","12","Individuals",,,"554",,,"269","1,065"
"11/30/2025","Bronx","11","Individuals",,,"197",,,,
"11/30/2025","Bronx","10","Individuals",,,,,,,"520"
"11/30/2025","Bronx","9","Individuals",,,"260",,,"295","1,530"
"11/30/2025","Bronx","8","Individuals",,,,,,,"592"
"11/30/2025","Bronx","7","Individuals",,,"624",,,"206","928"
"11/30/2025","Bronx","6","Individuals",,,"86",,,"1,235","1,806"
"11/30/2025","Bronx","5","Individuals",,"193","689",,,"156","1,079"
"11/30/2025","Bronx","4","Individuals",,,"438",,,"295","2,010"
"11/30/2025","Bronx","3","Individuals",,,"773","121",,,"1,279"
"11/30/2025","Bronx","2","Individuals",,"96",,,,,"731"
"11/30/2025","Bronx","1","Individuals",,,"630","159",,"207","1,483"
"10/31/2025","Bronx","2","Individuals",,"107",,,,,"731"
"10/31/2025","Staten Island","2","Individuals",,,"49",,,,"136"
"10/31/2025","Staten Island","1","Individuals",,,"97","113",,"48","521"
"10/31/2025","Queens","14","Individuals",,"268","195","22",,"270","0"
"10/31/2025","Queens","13","Individuals",,,"134","779",,"458","601"
"10/31/2025","Queens","12","Individuals","130","503","454","553",,"6,534","1,320"
"10/31/2025","Queens","11","Individuals",,,"74",,,"164",
"10/31/2025","Queens","10","Individuals",,,"172","165",,"687",
"10/31/2025","Queens","9","Individuals",,,"112",,,,
"10/31/2025","Queens","8","Individuals",,,"169",,,"141","296"
"10/31/2025","Queens","7","Individuals",,,"327",,,"71",
